Dealer ID,Dealer Name,City,State,Zip,URL,VIN,Price,Mileage,Type,Title,Year,Make,Model,Trim
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBAY2L0808045,"$35,045",N/A,New,Weight Information Base Curb Weight (lbs): 3825 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBAY2L0792557,"$35,045",N/A,New,Weight Information Base Curb Weight (lbs): 3825 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBAY5L0817130,"$34,867",N/A,New,Weight Information Base Curb Weight (lbs): 3825 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBAY3L0779395,"$35,045",N/A,New,Weight Information Base Curb Weight (lbs): 3825 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBAY8L0766397,"$34,714",N/A,New,Weight Information Base Curb Weight (lbs): 3825 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFADM8L0762904,"$30,081",N/A,New,Weight Information Base Curb Weight (lbs): 3541 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBAY8L0785581,"$35,045",N/A,New,Weight Information Base Curb Weight (lbs): 3825 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBBM9L1811210,"$27,690",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBBM0L0781424,"$27,193",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBCM0L0807096,"$28,783",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBBM4L0729231,"$27,039",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBBM9L0782734,"$27,722",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBAY8L0785337,"$35,045",N/A,New,Weight Information Base Curb Weight (lbs): 3825 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBBM0L1812763,"$27,192",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBCM0L0749345,"$28,543",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
ziggy-auto-group_houston_tx, ZIGGY AUTO GROUP,HOUSTON,TX,77055,http://bommaritomazdawest.com,JM3KFBCM1L0811805,"$28,794",N/A,New,Weight Information Base Curb Weight (lbs): 3679 Trailering Dead Weight Hitch - Max Trailer Wt. (lbs): 2000,,,,
